Programme,Minor Name,Minor Code,Module 1,Module 2,Module 3,Module 4,Module 5,Module 6,Module 7,Module 8,Module 9,Module 10
Y1MECH,Nil,Nil,ENGF0001,ENGF0002,ENGF0003,ENGF0004,MECH0003,MECH0004,MECH005,MECH0006,MECH0007,MECH0008
Y1WBF,Nil,Nil,ENGF0001,ENGF0002,ENGF0003,ENGF0004,MECH0003,MECH0004,MECH005,MECH0006,MECH0007,MECH0008
Y2WBF,Nil,Nil,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,MSIN0065,MSIN0066,0
Y3WBF,Nil,Nil,MECH0024,MECH0020,MECH0023,MECH0026,0,0,0,0,0,0
Y2MECH,Applied Chemistry and Molecular Engineering,APCH,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,CENG0014,0,0
Y2MECH,Biomedical Engineering,BIOE,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,MPHY0005,0,0
Y2MECH,Connected Systems,CNNC,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,ELEC0017,0,0
Y2MECH,Crime and Security Engineering,CRIM,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,SECU0009,0,0
Y2MECH,Engineering and Public Policy,ENPP,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,STEP0001,0,0
Y2MECH,Entrepreneurship,ENTR,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,MSIN0114,0,0
Y2MECH,Environmental Engineering,ENVI,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,CEGE0010,0,0
Y2MECH,Finance and Accounting,FINA,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,MSIN0066,0,0
Y2MECH,Intelligent Systems,INTL,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,COMP0014,0,0
Y2MECH,Intermediate Modern Foreign Language,INFL,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,0,0,0
Y2MECH,Management,MGMT,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,MSIN0048,0,0
Y2MECH,Modern Applications of Engineering Mathematics,ENGM,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,BENG0019,0,0
Y2MECH,Nanotechnology,NANO,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,ELEC0018,0,0
Y2MECH,Ocean Engineering,OCEA,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,MECH0019,0,0
Y2MECH,Application Programming for Data Science,PRDS,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,COMP0015,0,0
Y2MECH,Regenerative Medicine,REGM,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,BENG0011,0,0
Y2MECH,Strategic Thinking in Engineering and Technology,STRT,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,0,0,0
Y2MECH,Sustainable Building Design,SUST,ENGF0004,MECH0009,MECH0010,MECH0011,MECH0013,MECH0015,MECH0016,0,0,0
Y3MECH,Applied Chemistry and Molecular Engineering,APCH,MECH0024,MECH0020,MECH0023,MECH0026,CENG0021,CENG0022,0,0,0,0
Y3MECH,Biomedical Engineering,BIOE,MECH0024,MECH0020,MECH0023,MECH0026,MPHY0015,MPHY0039,0,0,0,0
Y3MECH,Connected Systems,CNNC,MECH0024,MECH0020,MECH0023,MECH0026,ELEC0032,ELEC0033,0,0,0,0
Y3MECH,Crime and Security Engineering,CRIM,MECH0024,MECH0020,MECH0023,MECH0026,SECU0016,SECU0049,0,0,0,0
Y3MECH,Engineering and Public Policy,ENPP,MECH0024,MECH0020,MECH0023,MECH0026,STEP0002,STEP0024,0,0,0,0
Y3MECH,Entrepreneurship,ENTR,MECH0024,MECH0020,MECH0023,MECH0026,MSIN0047,MSIN0060,0,0,0,0
Y3MECH,Environmental Engineering,ENVI,MECH0024,MECH0020,MECH0023,MECH0026,CEGE0022,CEGE0064,0,0,0,0
Y3MECH,Finance and Accounting,FINA,MECH0024,MECH0020,MECH0023,MECH0026,MSIN0170,MSIN0171,0,0,0,0
Y3MECH,Intelligent Systems,INTL,MECH0024,MECH0020,MECH0023,MECH0026,COMP0036,COMP0037,0,0,0,0
Y3MECH,Intermediate Modern Foreign Language,INFL,MECH0024,MECH0020,MECH0023,MECH0026,0,0,0,0,0,0
Y3MECH,Management,MGMT,MECH0024,MECH0020,MECH0023,MECH0026,MSIN0053,MSIN0059,0,0,0,0
Y3MECH,Modern Applications of Engineering Mathematics,ENGM,MECH0024,MECH0020,MECH0023,MECH0026,BENG0091,BENG0095,0,0,0,0
Y3MECH,Nanotechnology,NANO,MECH0024,MECH0020,MECH0023,MECH0026,ELEC0031,ELEC0035,0,0,0,0
Y3MECH,Ocean Engineering,OCEA,MECH0024,MECH0020,MECH0023,MECH0026,CEGE0023,MECH0030,0,0,0,0
Y3MECH,Application Programming for Data Science,PRDS,MECH0024,MECH0020,MECH0023,MECH0026,COMP0034,COMP0035,0,0,0,0
Y3MECH,Regenerative Medicine,REGM,MECH0024,MECH0020,MECH0023,MECH0026,BENG0032,BENG0085,0,0,0,0
Y3MECH,Strategic Thinking in Engineering and Technology,STRT,MECH0024,MECH0020,MECH0023,MECH0026,BENG0027,MSIN0035,0,0,0,0
Y3MECH,Sustainable Building Design,SUST,MECH0024,MECH0020,MECH0023,MECH0026,0,0,0,0,0,0
Y4MECH,Nil,Nil,0,0,0,0,0,0,0,0,0,0
